COMPANY,RANK,RANK_CHANGE,REVENUE,PROFIT,NUM_OF_EMPLOYEES,SECTOR,CITY,STATE,NEWCOMER,CEO_FOUNDER,CEO_WOMAN,PROFITABLE,PREV_RANK,CEO,WEBSITE,TICKER,MARKET_CAP,CEO_NAME,CEO_DOB,DOB_MMDD,DOB_YYYY,MISSING_DOBS,BIRTH_CITY,BIRTH_STATE,ORIGIN_STATE,CURRENT_RESIDENCE,CEO_BACH_MAJOR,CEO_BACH_SCHOOL,CEO_MAST_MAJOR,CEO_MAST_SCHOOL,PHD,DROPPED_OUT,YR_TURNED_CEO,PREVIOUSLY_CEO,SECOND_MAST_MAJOR,SECOND_MAST_SCHOOL,THIRD_MAST_MAJOR,THIRD_MAST_SCHOOL,ZODIAC,AGE,AGE_TURNED_CEO
Comcast,28,-2,116385,14159,189000,Telecommunications,Philadelphia,PA,no,no,no,yes,26,Brian L. Roberts,www.comcastcorporation.com,CMCSA,185069,Brian L. Roberts,6/28/1959,6/28/2023,11/1/1959,,Philadelphia,PA,PA,PA,Finance,UPenn,no,no,no,no,11/1/2002,no,,,,,Cancer,64,43
Phillips 66,29,19,114852,1317,14000,Energy,Houston,TX,no,no,no,yes,48,Mark E. Lashier,www.phillips66.com,PSX,41091,Mark E. Lashier,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",,IA,IA,,Chemical Engineering,Iowa State,,,yes,no,11/1/2022,no,,,,,,60,59
Valero Energy,30,23,108332,930,9804,Energy,San Antonio,TX,no,no,no,yes,53,Joseph W. Gorder,www.valero.com,VLO,44376,Joseph W. Gorder,1/1/1957,1/1/2023,11/1/1957,"MMDD missing, default to 1/1",,,,TX,Business Administration,"University of Missouri, St. Louis",MBA,Our Lady of the Lake,no,no,11/1/2014,no,,,,,,66,57
Dell Technologies,31,-3,106995,5563,133000,Technology,Round Rock,TX,no,yes,no,yes,28,Michael S. Dell,www.delltechnologies.com,DELL,32568,Michael S. Dell,2/23/1965,2/23/2023,11/1/1965,,Houston,TX,TX,TX,Pre-Med,"University of Texas, Austin",no,no,no,yes,11/1/1984,founder,,,,,Pisces,58,19
Target,32,-2,106005,6946,450000,Retailing,Minneapolis,MN,no,no,no,yes,30,Brian C. Cornell,www.target.com,TGT,71112,Brian C. Cornell,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",Queens,NY,,MN,,UCLA,,UCLA,no,no,11/1/2014,yes,,,,,,65,56
Fannie Mae,33,-8,101543,22176,7400,Financials,Washington,DC,no,no,no,yes,25,David C. Benson,www.fanniemae.com,FNMA,3961,David C. Benson,,,,,,,,,Psychobiology,UCLA,MD,Harvard,Dr,no,11/1/2022,no,MBA,Stanford,,,,,
United Parcel Service,34,1,97287,12890,400945,Transportation,Atlanta,GA,no,no,yes,yes,35,Carol B. Tome,www.ups.com,UPS,162355,Carol B. Tome,1/8/1957,1/8/2023,11/1/1957,,Jackson,WY,WY,,Communication,University of Wyoming,Finance,University of Denver,no,no,11/1/2020,no,,,,,Capricorn,66,63
Lowe's,35,-4,96250,8442,270000,Retailing,Mooresville,NC,no,no,no,yes,31,Marvin R. Ellison,www.lowes.com,LOW,120655,Marvin R. Ellison,1/1/1966,1/1/2023,11/1/1966,"MMDD missing, default to 1/1",Brownsville,TN,TN,NC,Marketing,University of Memphis,MBA,Emory,no,no,11/1/2018,yes,,,,,,57,52
Bank of America,36,-7,93851,31978,208248,Financials,Charlotte,NC,no,no,no,yes,29,Brian T. Moynihan,www.bankofamerica.com,BAC,268697,Brian T. Moynihan,10/9/1959,10/9/2023,11/1/1959,,Marietta,OH,OH,MA,History,Brown,JD,Notre Dame,no,no,11/1/2010,yes via merger,,,,,Libra,64,51
Johnson & Johnson,37,-1,93775,20878,141700,Health Care,New Brunswick,NJ,no,no,no,yes,36,Joaquin Duato,www.jnj.com,JNJ,451785,Joaquin Duato,1/1/1969,1/1/2023,11/1/1969,"MMDD missing, default to 1/1",Valencia,Spain,Spain,,,,MBA,ESADE Business School,no,no,11/1/2022,no,International Management,Arizona State University,,,,54,53
Archer Daniels Midland,38,13,85249,2709,39979,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,51,Juan R. Luciano,www.adm.com,ADM,41545,Juan R. Luciano,1/1/1962,1/1/2023,11/1/1962,"MMDD missing, default to 1/1",,Argentina,Argentina,IL,Industrial Engineering,Buenos Aires Institute of Technology,no,no,no,no,11/1/2015,no,,,,,,61,53
FedEx,39,6,83959,5231,484000,Transportation,Memphis,TN,no,yes,no,yes,45,Rajesh Subramaniam,www.fedex.com,FDX,58577,Rajesh Subramaniam,9/14/1967,9/14/2023,11/1/1967,,,India,India,TN,Chemical Engineering,IIT Bombay,Chemical Engineering,Syracuse,no,no,11/1/2022,"yes, of internal subsidiary",MBA,"University of Texas, Austin",,,Virgo,56,55
Humana,40,1,83064,2933,95500,Health Care,Louisville,KY,no,no,no,yes,41,Bruce D. Broussard,www.humana.com,HUM,62653,Bruce D. Broussard,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",,,,,Finance and Accounting,Texas A&M,MBA,University of Houston,no,no,11/1/2013,yes,,,,,,60,50
Wells Fargo,41,-4,82407,21548,247848,Financials,San Francisco,CA,no,no,no,yes,37,Charles W. Scharf,www.wellsfargo.com,WFC,162606,Charles W. Scharf,4/24/1965,4/24/2023,11/1/1965,,,NY,NY,NY,,Johns Hopkins,MBA,NYU,no,no,11/1/2019,yes,,,,,Taurus,58,54
State Farm Insurance,42,-3,82225,1281,53586,Financials,Bloomington,IL,no,no,no,yes,39,Michael L. Tipsord,www.statefarm.com,,,Michael L. Tipsord,6/20/1959,6/20/2023,11/1/1959,,,IL,IL,IL,Accounting,Illinois Wesleyan University,JD,"University of Illinois, Urbana-Champaign",no,no,11/1/2015,no,,,,,Gemini,64,56
Pfizer,43,34,81288,21979,79000,Health Care,New York,NY,no,no,no,yes,77,Albert Bourla,www.pfizer.com,PFE,288232,Albert Bourla,10/21/1961,10/21/2023,11/1/1961,,Thessaloniki,Greece,Greece,NY,,,,,yes,no,11/1/2019,no,,,,,Libra,62,58
Citigroup,44,-11,79865,21952,221768,Financials,New York,NY,no,no,yes,yes,33,Jane Fraser,www.citigroup.com,C,100976,Jane Fraser,7/13/1967,7/13/2023,11/1/1967,,St Andrews,Scotland,Scotland,,Economics,Cambridge University,MBA,Harvard,no,no,11/1/2021,"yes, of internal subsidiary",,,,,Cancer,56,54
PepsiCo,45,-1,79474,7618,309000,"Food, Beverages & Tobacco",Purchase,NY,no,no,no,yes,44,Ramon L. Laguarta,www.pepsico.com,PEP,234697,Ramon L. Laguarta,4/1/1963,4/1/2023,11/1/1963,,Barcelona,Spain,Spain,,Business Administration,ESADE Business School,MBA,ESADE Business School,no,no,11/1/2018,"yes, of internal subsidiary",International Management,Arizona State University,,,Aries,60,55
Intel,46,-6,79024,19868,121100,Technology,Santa Clara,CA,no,no,no,yes,40,Patrick P. Gelsinger,www.intel.com,INTC,164460,Patrick P. Gelsinger,3/5/1961,3/5/2023,11/1/1961,,Robesonia,PA,PA,OR,Electrical Engineering,Santa Clara University,Electrical Engineering and Computer Science,Stanford,no,no,11/1/2021,yes,,,,,Pisces,62,60
Procter & Gamble,47,-4,76118,14306,101000,Household Products,Cincinnati,OH,no,no,no,yes,43,Jon R. Moeller,www.pg.com,PG,345595,Jon R. Moeller,6/11/1964,6/11/2023,11/1/1964,,Chicago,IL,,,Biology,Cornell,MBA,Cornell,no,no,11/1/2021,no,,,,,Gemini,59,57
Massachusetts Mutual Life Insurance,100,23,35900,319,10052,Financials,Springfield,MA,no,no,no,yes,123,Roger W. Crandall,www.massmutual.com,,,Roger W. Crandall,,,,,New York City,NY,,MA,Economics,University of Vermont,MBA,UPenn,no,no,11/1/2010,no,,,,,,,
Northrop Grumman,101,-15,35667,7005,88000,Aerospace & Defense,Falls Church,VA,no,no,yes,yes,86,Kathy J. Warden,www.northropgrumman.com,NOC,71099,Kathy J. Warden,,,,,,,MD,VA,Computer Systems,James Madison University,MBA,George Washington University,no,no,11/1/2019,no,,,,,,,
3M,102,-6,35355,5921,95000,Chemicals,St. Paul,MN,no,no,no,yes,96,Michael F. Roman,www.3m.com,MMM,75190,Michael F. Roman,,,,,,,WI,MN,Electrical Engineering,University of Minnesota,Electrical Engineering,University of Southern California,no,no,11/1/2018,no,,,,,,,
Travelers,103,-5,34816,3662,30492,Financials,New York,NY,no,no,no,yes,98,Alan D. Schnitzer,www.travelers.com,TRV,37998,Alan D. Schnitzer,1/1/1965,1/1/2023,11/1/1965,"MMDD missing, default to 1/1",,,,NY,Finance and Accounting,UPenn,JD,Columbia,no,no,11/1/2015,no,,,,,,58,50
Arrow Electronics,104,-2,34477,1108,20700,Wholesalers,Centennial,CO,no,no,no,yes,102,Sean J. Kerins,www.arrow.com,ARW,7851,Sean J. Kerins,,,,,,,,,Engineering,Syracuse,MBA,Northwestern,no,no,11/1/2022,no,,,,,,,
Honeywell International,105,-11,34392,5542,99000,Industrials,Charlotte,NC,no,no,no,yes,94,Darius E. Adamczyk,www.honeywell.com,HON,120646,Darius E. Adamczyk,2/8/1966,2/8/2023,11/1/1966,,,Poland,MI,NC,Electrical and Computer Engineering,Michigan State University,Computer Engineering,Syracuse,no,no,11/1/2017,yes via merger,MBA,Harvard,,,Aquarius,57,51
Dollar General,106,-15,34220,2399,163000,Retailing,Goodlettsville,TN,no,no,no,yes,91,Jeffery C. Owen,www.dollargeneral.com,DG,55694,Jeffery C. Owen,,,,,,,,TN,,Vanderbilt,MBA,Vanderbilt,no,no,11/1/2022,no,,,,,,,
Qualcomm,107,17,33566,9043,45000,Technology,San Diego,CA,no,no,no,yes,124,Cristiano Amon,https://www.qualcomm.com,QCOM,126877,Cristiano Amon,1/1/1970,1/1/2023,11/1/1970,"MMDD missing, default to 1/1",Sao Paulo,Brazil,Brazil,CA,Electrical Engineering,Universidade Estadual de Campinas,no,no,honorary,no,11/1/2021,no,,,,,,53,51
Capital One Financial,108,-9,32033,12390,50767,Financials,McLean,VA,no,yes,no,yes,99,Richard D. Fairbank,www.capitalone.com,COF,44423,Richard D. Fairbank,9/18/1950,9/18/2023,11/1/1950,,,CA,CA,VA,Economics,Stanford,MBA,Stanford,no,no,11/1/1994,founder,,,,,Virgo,73,44
TD Synnex,109,8,31614,395,27000,Wholesalers,Fremont,CA,no,no,no,yes,117,Richard T. Hume,www.tdsynnex.com,SNX,9174,Richard T. Hume,,,,,,,,FL,Finance and Accounting,Penn State,no,no,no,no,11/1/2018,no,,,,,,,
Philip Morris International,110,-9,31405,9109,69600,"Food, Beverages & Tobacco",New York,NY,no,no,no,yes,101,Jacek Olczak,www.pmi.com,PM,141727,Jacek Olczak,10/20/1965,10/20/2023,11/1/1965,,,Poland,Poland,Switzerland,,,Economics,University of Lodz,no,no,11/1/2021,no,,,,,Libra,58,56
World Fuel Services,111,36,31337,74,4414,Energy,Miami,FL,no,no,no,yes,147,Michael J. Kasbar,www.wfscorp.com,INT,1427,Michael J. Kasbar,1/1/1957,1/1/2023,11/1/1957,"MMDD missing, default to 1/1",Brooklyn,NY,NY,FL,Environmental Science,SUNY Plattsburgh,no,no,no,no,11/1/2012,yes,,,,,,66,55
Performance Food Group,112,2,30399,41,22885,Wholesalers,Richmond,VA,no,no,no,yes,114,George L. Holm,www.pfgc.com,PFGC,7818,George L. Holm,,,,,,,,,Business Administration,Grand Canyon University,no,no,no,no,11/1/2008,yes,,,,,,,
Delta Air Lines,113,65,29899,280,83000,Transportation,Atlanta,GA,no,no,no,yes,178,Edward H. Bastian,www.delta.com,DAL,20903,Edward H. Bastian,6/6/1957,6/6/2023,11/1/1957,,Poughkeepsie,NY,NY,GA,Accounting,Saint Bonaventure University,no,no,no,no,11/1/2016,no,,,,,Gemini,66,59
American Airlines Group,114,60,29882,-1993,123400,Transportation,Fort Worth,TX,no,no,no,no,174,Robert D. Isom,www.aa.com,AAL,9847,Robert D. Isom,,,,,,,MI,TX,Mechanical Engineering and English,University of Notre Dame,MBA,University of Michigan,no,no,11/1/2022,no,,,,,,,
Netflix,115,0,29698,5116,11300,Media,Los Gatos,CA,no,yes,no,yes,115,Ted Sarandos,www.netflix.com,NFLX,89579,Ted Sarandos,7/30/1964,7/30/2023,11/1/1964,,Phoenix,AZ,AZ,CA,Journalism,Arizona State University,no,no,no,yes,11/1/2020,,,,,,Leo,59,56
Netflix,115,0,29698,5116,11300,Media,Los Gatos,CA,no,yes,no,yes,115,Reed Hastings,www.netflix.com,NFLX,89579,Reed Hastings,10/8/1960,10/8/2023,11/1/1960,,Boston,MA,MA,CA,Mathematics,Bowdoin College,Computer Science,Stanford,no,no,11/1/1997,founder,,,,,Libra,63,37
Paramount Global,116,-7,29579,4543,25115,Media,New York,NY,no,no,no,yes,109,Robert M. Bakish,www.paramount.com,PARA,16383,Robert M. Bakish,12/14/1963,12/14/2023,11/1/1963,,Englewood,NJ,NJ,NY,Operations Research,Columbia,MBA,Columbia,no,no,11/1/2019,yes,,,,,Sagittarius,60,56
US Foods Holding,117,11,29487,164,28000,Wholesalers,Rosemont,IL,no,no,no,yes,128,Andrew Iacobucci,www.usfoods.com,USFD,7335,Andrew Iacobucci,,,,,,,,Canada,,Queens University,,University of Toronto,no,no,11/1/2022,no,,,,,,,
Danaher,118,12,29453,6433,79000,Health Care,Washington,DC,no,no,no,yes,130,Rainer Blair,https://www.danaher.com,DHR,189085,Rainer Blair,1/1/1964,1/1/2023,11/1/1964,"MMDD missing, default to 1/1",,Germany,,VA,Business Administration,Umass Amherst,MBA,Boston University,no,no,11/1/2020,yes,,,,,,59,56
Jabil,119,-15,29285,696,238000,Technology,St. Petersburg,FL,no,no,no,yes,104,Mark T. Mondello,www.jabil.com,JBL,7554,Mark T. Mondello,,,,,Chicago,IL,IL,FL,Mechanical Engineering,University of South Florida,no,no,no,no,11/1/2013,no,,,,,,,
Starbucks,120,5,29061,4199,383000,"Hotels, Restaurants & Leisure",Seattle,WA,no,yes,no,yes,125,Howard D. Schultz,www.starbucks.com,SBUX,94677,Howard D. Schultz,7/19/1953,7/19/2023,11/1/1953,,Brooklyn,NY,NY,WA,Communication,Northern Michigan University,no,no,no,no,11/1/1986,founder,,,,,Cancer,70,33
Mondelez International,121,-13,28720,4300,79000,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,108,Dirk Van de Put,www.mondelezinternational.com,MDLZ,85001,Dirk Van de Put,,,,,Mechelen,Belgium,Belgium,FL,,,Veterinary Medicine,University of Ghent,Dr,no,11/1/2017,yes,MBA,University of Antwerp,,,,,
Eli Lilly,122,-4,28318,5582,35238,Health Care,Indianapolis,IN,no,no,no,yes,118,David A. Ricks,https://www.lilly.com,LLY,272724,David A. Ricks,,,,,,,CA,IN,Industrial Management,Purdue,MBA,Indiana University,honorary,no,11/1/2017,no,,,,,,,
Hewlett Packard Enterprise,123,-17,27784,3427,60400,Technology,Houston,TX,no,no,no,yes,106,Antonio F. Neri,https://www.hpe.com,HPE,21725,Antonio F. Neri,5/10/1967,5/10/2023,11/1/1967,,,Argentina,Argentina,TX,Engineering,National Technological University,no,no,no,no,11/1/2018,no,,,,,Taurus,56,51
D.R. Horton,124,24,27774,4176,11788,Engineering & Construction,Arlington,TX,no,no,no,yes,148,David Auld,https://www.drhorton.com,DHI,24313,David Auld,,,,,,,,TX,Accounting,Texas Tech University,no,no,no,no,11/1/2014,no,,,,,,,
Molina Healthcare,125,30,27771,659,14000,Health Care,Long Beach,CA,no,no,no,yes,155,Joseph M. Zubretsky,https://www.molinahealthcare.com,MOH,19573,Joseph M. Zubretsky,,,,,,,CT,,Business Administration,University of Hartford,no,no,no,no,,yes,,,,,,,
CBRE Group,126,-4,27746,1837,105000,Financials,Dallas,TX,no,no,no,yes,122,Robert E. Sulentic,https://www.cbre.com,CBRE,30414,Robert E. Sulentic,,,,,,,,TX,Computer Science,Iowa State,MBA,Harvard,no,no,11/1/2012,yes,,,,,,,
Micron Technology,127,8,27705,5861,43000,Technology,Boise,ID,no,no,no,yes,135,Sanjay Mehrotra,https://www.micron.com,MU,86977,Sanjay Mehrotra,6/27/1958,6/27/2023,11/1/1958,,,India,India,CA,Electrical Engineering and Computer Science,University of California Berkeley,Electrical Engineering and Computer Science,University of California Berkeley,no,no,11/1/2017,yes,Advanced Management,Stanford,,,Cancer,65,59
Broadcom,128,-7,27450,6736,20000,Technology,San Jose,CA,no,no,no,yes,121,Hock E. Tan,https://www.broadcom.com,AVGO,257087,Hock E. Tan,1/1/1953,1/1/2023,11/1/1953,"MMDD missing, default to 1/1",,Malaysia,Malaysia,,Mechanical Engineering,MIT,Mechanical Engineering,MIT,no,no,11/1/2006,yes,MBA,Harvard,,,,70,53
Gilead Sciences,129,-13,27305,6225,14400,Health Care,Foster City,CA,no,no,no,yes,116,Daniel P. O'Day,https://www.gilead.com,GILD,74657,Daniel P. O'Day,5/26/1964,5/26/2023,11/1/1964,,,TX,,Switzerland,Biology,Georgetown University,MBA,Columbia,no,no,11/1/2019,yes,,,,,Gemini,59,55
PBF Energy,130,73,27253,231,3418,Energy,Parsippany,NJ,no,no,no,yes,203,Thomas J. Nimbley,https://www.pbfenergy.com,PBF,2933,Thomas J. Nimbley,1/1/1950,1/1/2023,11/1/1950,"MMDD missing, default to 1/1",,,,NJ,Chemical Engineering,New Jersey Institute of Technology,no,no,no,no,11/1/2010,"yes, of internal subsidiary",,,,,,73,60
Lennar,131,-2,27131,4430,10753,Engineering & Construction,Miami,FL,no,no,no,yes,129,Jonathan M. Jaffe,https://www.lennar.com,LEN,23413,Jonathan M. Jaffe,,,,,,,,CA,Architecture,University of Florida,no,no,no,no,11/1/2020,no,,,,,,,
Lennar,131,-2,27131,4430,10753,Engineering & Construction,Miami,FL,no,no,no,yes,129,Richard Beckwitt,https://www.lennar.com,LEN,23413,Richard Beckwitt,,,,,,,CO,ME,"Economics, Psychology",Claremont McKenna College,no,no,no,no,11/1/2018,no,,,,,,,
United Natural Foods,132,-25,26992,149,28300,Wholesalers,Providence,RI,no,no,no,yes,107,Sandy Douglas,https://www.unfi.com,UNFI,2409,Sandy Douglas,,,,,,,,RI,,University of Virginia,,,,no,11/1/2021,yes,,,,,,,
NRG Energy,133,200,26989,2187,6635,Energy,Houston,TX,no,no,no,yes,333,Mauricio Gutierrez,https://www.nrg.com,NRG,9855,Mauricio Gutierrez,1/1/1971,1/1/2023,11/1/1971,"MMDD missing, default to 1/1",Mexico City,Mexico,Mexico,NJ,Industrial Engineering,Universidad Panamericana,Mineral Economics,Colorado School of Mines,no,no,11/1/2015,no,Petroleum Economics,IFP School,,,,52,44
Nvidia,134,50,26914,9752,22473,Technology,Santa Clara,CA,no,yes,no,yes,184,Jensen Huang,https://www.nvidia.com,NVDA,296011,Jensen Huang,2/17/1963,2/17/2023,11/1/1963,,,Taiwan,OR,CA,Electrical Engineering,Oregon State University,Electrical Engineering,Stanford,no,no,11/1/1993,founder,,,,,Aquarius,60,30
Occidental Petroleum,135,48,26772,2322,11678,Energy,Houston,TX,no,no,yes,yes,183,Vicki A. Hollub,https://www.oxy.com,OXY,53160,Vicki A. Hollub,1/1/1960,1/1/2023,11/1/1960,"MMDD missing, default to 1/1",Birmingham,AL,AL,,Mineral Engineering,"University of Alabama, Tuscaloosa",no,no,no,no,11/1/2016,no,,,,,,63,56
Salesforce,136,1,26492,1444,73541,Technology,San Francisco,CA,no,yes,no,yes,137,Marc R. Benioff,https://www.salesforce.com,CRM,210197,Marc R. Benioff,9/25/1964,9/25/2023,11/1/1964,,San Francisco,CA,CA,CA,Business Administration,University of Southern California,no,no,honorary,no,11/1/1999,founder,,,,,Libra,59,35
Salesforce,136,1,26492,1444,73541,Technology,San Francisco,CA,no,yes,no,yes,137,Bret Taylor,https://www.salesforce.com,CRM,210197,Bret Taylor,7/10/1980,7/10/2023,11/1/1980,,Oakland,CA,CA,,Computer Science,Stanford,Computer Science,Stanford,no,no,11/1/2021,yes,,,,,Cancer,43,41
Dollar Tree,137,-26,26321,1328,136226,Retailing,Chesapeake,VA,no,no,no,yes,111,Michael A. Witynski,https://www.dollartree.com,DLTR,36051,Michael A. Witynski,,,,,,,IL,VA,Business Administration,Benedictine University,no,no,no,no,11/1/2020,no,,,,,,,
KKR,138,178,26141,4667,3238,Financials,New York,NY,no,no,no,yes,316,Joseph Y. Bae,https://www.kkr.com,KKR,51543,Joseph Y. Bae,1/1/1972,1/1/2023,11/1/1972,"MMDD missing, default to 1/1",,Korea,NY,NY,,Harvard,no,no,no,no,11/1/2021,no,,,,,,51,49
KKR,138,178,26141,4667,3238,Financials,New York,NY,no,no,no,yes,316,Scott C. Nuttall,https://www.kkr.com,KKR,51543,Scott C. Nuttall,1/1/1972,1/1/2023,11/1/1972,"MMDD missing, default to 1/1",,,,NY,,UPenn,no,no,no,no,11/1/2021,no,,,,,,51,49
Kraft Heinz,139,-29,26042,1012,36000,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,110,Miguel Patricio,https://www.kraftheinzcompany.com,KHC,48249,Miguel Patricio,,,,,,Portugal,Brazil,,Business Administration,FGV EAESP,no,no,no,no,11/1/2019,no,,,,,,,
Amgen,140,-28,25979,5893,24200,Health Care,Thousand Oaks,CA,no,no,no,yes,112,Robert A. Bradway,https://www.amgen.com,AMGN,134701,Robert A. Bradway,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",Copake,NY,NY,,Biology,Amherst College,MBA,Harvard,no,no,11/1/2012,no,,,,,,60,49
AutoNation,141,4,25844,1373,22200,Retailing,Fort Lauderdale,FL,no,no,no,yes,145,Michael M. Manley,https://www.autonation.com,AN,6111,Michael M. Manley,3/6/1964,3/6/2023,11/1/1964,,Edenbridge,United Kingdom,,,Engineering,Southbank University,MBA,Ashridge Management College,no,no,11/1/2021,yes,,,,,Pisces,59,57
Penske Automotive Group,142,1,25555,1188,24797,Retailing,Bloomfield Hills,MI,no,no,no,yes,143,Roger S. Penske,https://www.penskeautomotive.com,PAG,7197,Roger S. Penske,2/20/1937,2/20/2023,11/1/1937,,Shaker Heights,OH,OH,MI,Business Administration,Lehigh University,no,no,no,no,11/1/1969,founder,,,,,Pisces,86,32
PayPal,143,-9,25371,4169,30900,Business Services,San Jose,CA,no,no,no,yes,134,Daniel Schulman,https://www.paypal.com,PYPL,99538,Daniel Schulman,1/19/1958,1/19/2023,11/1/1958,,Newark,NJ,NJ,NJ,Economics,Middlebury College,MBA,NYU,no,no,11/1/2014,yes,,,,,Capricorn,65,56
Macy's,144,20,25292,1430,88857,Retailing,New York,NY,no,no,no,yes,164,Jeffrey Gennette,https://www.macysinc.com,M,7123,Jeffrey Gennette,6/20/1965,6/20/2023,11/1/1965,,San Diego,CA,CA,NY,English,Stanford,no,no,no,no,11/1/2017,"yes, of internal subsidiary",,,,,Gemini,58,52
Duke Energy,145,-19,24677,3908,27605,Energy,Charlotte,NC,no,no,yes,yes,126,Lynn J. Good,https://www.duke-energy.com,DUK,85967,Lynn J. Good,4/18/1959,4/18/2023,11/1/1959,,,OH,OH,NC,Systems Analysis and Accounting,Miami University,no,no,no,no,11/1/2013,no,,,,,Aries,64,54
United Airlines Holdings,146,54,24634,-1964,84100,Transportation,Chicago,IL,no,no,no,no,200,J. Scott Kirby,https://www.united.com,UAL,15050,J. Scott Kirby,8/13/1967,8/13/2023,11/1/1967,,,TX,TX,IL,Computer Science and Operations Research,United States Air Force Academy,Operations Research,George Washington University,no,no,11/1/2020,no,,,,,Leo,56,53
Visa,147,-14,24105,12311,21500,Business Services,San Francisco,CA,no,no,no,yes,133,Alfred F. Kelly Jr.,https://www.visa.com,V,480023,Alfred F. Kelly Jr.,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",Bronxville,NY,NY,NY,Computer and Information Science,Iona College,MBA,Iona College,no,no,11/1/2016,yes,,,,,,65,58
Camping World Holdings,475,21,6914,279,12834,Retailing,Lincolnshire,IL,no,no,no,yes,496,Marcus A. Lemonis,https://www.campingworld.com,CWH,2665,Marcus A. Lemonis,11/16/1973,11/16/2023,11/1/1973,,Beirut,Lebanon,FL,IL,Political Science,Marquette University,no,no,no,no,11/1/2006,yes,,,,,Scorpio,50,33
Ingredion,476,-13,6894,117,12000,"Food, Beverages & Tobacco",Westchester,IL,no,no,no,yes,463,James P. Zallie,https://www.ingredion.com,INGR,5814,James P. Zallie,1/1/1961,1/1/2023,11/1/1961,"MMDD missing, default to 1/1",,,,IL,Food Science,Penn State,Food Science and Technology,Rutgers,no,no,11/1/2018,yes,MBA,Rutgers,,,,62,57
Veritiv,477,-38,6851,145,6100,Wholesalers,Atlanta,GA,no,no,no,yes,439,Salvatore A. Abbate,https://www.veritivcorp.com,VRTV,2008,Salvatore A. Abbate,,,,,,,,,,Georgia Tech,MBA,Northwestern,no,no,11/1/2020,no,,,,,,,
Beacon Roofing Supply,478,-58,6820,243,6676,Wholesalers,Herndon,VA,no,no,no,yes,420,Julian G. Francis,https://www.becn.com,BECN,4176,Julian G. Francis,,,,,,,United Kingdom,,Mathematics,Swansea University,MBA,DePaul,yes,no,11/1/2019,no,,,,,,,
Diamondback Energy,479,0,6797,2182,870,Energy,Midland,TX,yes,no,no,yes,,Travis D. Stice,https://www.diamondbackenergy.com,FANG,24320,Travis D. Stice,,,,,,TX,TX,TX,Petroleum Engineering,Texas A&M,no,no,no,no,11/1/2012,no,,,,,,,
Victoria's Secret,480,0,6785,646,24000,Retailing,Reynoldsburg,OH,yes,no,no,yes,,Martin P. Waters,https://www.victoriassecretandco.com,VSCO,4330,Martin P. Waters,1/1/1966,1/1/2023,11/1/1966,"MMDD missing, default to 1/1",,,,,Retail Marketing,Manchester University,no,no,no,no,11/1/2020,no,,,,,,57,54
Academy Sports and Outdoors,481,-6,6773,671,16508,Retailing,Katy,TX,no,no,no,yes,475,Ken C. Hicks,https://www.academy.com,ASO,3434,Ken C. Hicks,1/1/1952,1/1/2023,11/1/1952,"MMDD missing, default to 1/1",,,,,,United States Military Academy,MBA,Harvard,no,no,11/1/2018,yes,,,,,,71,66
Sanmina,482,-64,6757,269,33500,Technology,San Jose,CA,no,yes,no,yes,418,Jure Sola,https://www.sanmina.com,SANM,2569,Jure Sola,1/1/1951,1/1/2023,11/1/1951,"MMDD missing, default to 1/1",,Croatia,,,Engineering,San Jose State University,no,no,no,no,11/1/2001,founder,,,,,,72,50
ON Semiconductor,483,0,6740,1010,31650,Technology,Phoenix,AZ,yes,no,no,yes,,Hassane S. El-Khoury,https://www.onsemi.com,ON,27079,Hassane S. El-Khoury,,,,,,Lebanon,Lebanon,,Electrical Engineering,Lawrence Technological University,Engineering Management,Oakland University,no,no,11/1/2020,yes,,,,,,,
Commercial Metals,484,8,6730,413,11089,Materials,Irving,TX,no,no,yes,yes,492,Barbara R. Smith,https://www.cmc.com,CMC,5057,Barbara R. Smith,,,,,,,,,Accounting,Purdue,no,no,no,no,11/1/2017,no,,,,,,,
EnLink Midstream,485,0,6686,22,1073,Energy,Dallas,TX,yes,no,no,yes,,Jesse Arenivas,https://www.enlink.com,ENLC,4671,Jesse Arenivas,,,,,,,TX,TX,Finance,"University of Texas, Permian Basin",no,no,no,no,11/1/2022,no,,,,,,,
Southwestern Energy,486,0,6667,-25,938,Energy,Spring,TX,yes,no,no,no,,William J. Way,https://www.swn.com,SWN,7990,William J. Way,,,,,,,,TX,Industrial Engineering,Texas A&M,MBA,MIT,no,no,11/1/2016,no,,,,,,,
